Name,Name2,ra_deg,dec_deg,dist,dist_err,vlos,vlos_err,pmra,pmra_err,pmdec_err,pmcorr,Age,Age_err,Fe_H,Fe_H_err,Mass
M68,NGC4590,189.866577,-26.744057,10.4,0.1,-93.11,2.0,-2.738,0.024,0.024,-0.002,12.5,1.3,-2.31,0.03,122000.0
BH140,-,193.472915,-67.177276,4.81,0.25,90.3,2.0,-14.853,0.024,0.024,0.004,nan,nan,nan,nan,59900.0
NGC4833,-,194.891342,-70.876503,6.48,0.08,201.99,2.0,-8.385,0.025,0.025,0.004,11.4,0.5,-2.03,0.03,206000.0
M53,NGC5024,198.230209,18.168165,18.5,0.18,-63.37,2.0,-0.136,0.024,0.024,-0.01,13.1,1.3,-2.06,nan,455000.0
NGC5053,-,199.112885,17.700251,17.54,0.23,42.82,2.0,-0.332,0.025,0.025,-0.013,13.2,1.3,-2.28,0.05,74200.0
Kim3,-,200.688333,-30.601,15.1,0.755,130.0,120.0,-0.851,0.16,0.125,-0.271,9.5,2.3,-1.6,0.375,nan
oCen,NGC5139,201.696991,-47.479473,5.43,0.05,232.78,2.0,-3.256,0.025,0.025,-0.0,11.52,0.64,-1.35,nan,3640000.0
M3,NGC5272,205.548416,28.377277,10.18,0.08,-147.2,2.0,-0.153,0.024,0.023,0.001,11.3,1.8,-1.5,nan,406000.0
NGC5286,-,206.61171,-51.374249,11.1,0.14,62.38,2.0,0.195,0.026,0.026,0.003,12.5,0.5,-1.7,0.07,353000.0
AM4,-,209.089066,-27.165171,29.01,0.94,151.19,2.85,0.11,0.17,0.175,-0.332,9.0,0.5,-0.97,nan,756.0
NGC5466,-,211.363709,28.534445,16.12,0.16,106.82,2.0,-5.341,0.024,0.024,0.006,13.4,1.3,-2.31,nan,59800.0
NGC5634,-,217.405335,-5.97643,25.96,0.62,-16.07,2.0,-1.689,0.026,0.026,-0.002,11.84,0.51,-1.83,0.12,228000.0
NGC5694,-,219.901245,-26.538776,34.84,0.74,-139.55,2.0,-0.469,0.028,0.028,-0.042,13.44,0.9,-2.08,0.11,317000.0
IC4499,-,225.077188,-82.213792,18.89,0.25,38.41,2.0,0.467,0.025,0.026,-0.002,12.0,0.75,-1.6,nan,155000.0
Munoz1,-,225.4501,66.9687,45.0,2.25,-137.0,4.0,-0.09,0.184,0.172,-0.237,12.5,nan,-1.5,nan,nan
NGC5824,-,225.994156,-33.068138,31.71,0.6,-25.24,2.0,-1.195,0.026,0.025,-0.005,12.8,0.9,-1.97,0.11,762000.0
Pal5,-,229.019167,-0.121,21.94,0.51,-58.61,2.0,-2.726,0.027,0.026,0.002,10.9,0.86,-1.32,nan,9980.0
NGC5897,-,229.351659,-21.010122,12.55,0.24,101.31,2.0,-5.419,0.025,0.025,-0.006,12.3,1.2,-2.08,0.04,157000.0
M5,NGC5904,229.638412,2.081028,7.48,0.06,53.5,2.0,4.075,0.024,0.024,-0.003,10.8,2.0,-1.29,0.08,394000.0
NGC5927,-,232.002869,-50.673031,8.27,0.11,-104.09,2.0,-5.05,0.025,0.025,-0.002,12.7,0.9,-0.49,0.44,275000.0
NGC5946,-,233.869051,-50.659713,9.64,0.51,137.6,2.0,-5.337,0.028,0.027,-0.002,9.7,1.6,-1.46,0.13,93100.0
BH176,-,234.781,-50.05,18.9,0.945,-6.0,14.0,-3.98,0.028,0.027,-0.019,6.5,0.5,nan,nan,nan
NGC5986,-,236.512497,-37.786415,10.54,0.13,101.18,2.0,-4.19,0.026,0.026,-0.003,12.2,0.6,-1.59,0.12,334000.0
FSR1716,-,242.625,-53.748889,7.43,0.27,-30.7,2.0,-4.376,0.031,0.03,-0.009,11.0,1.0,-1.38,0.2,14000.0
Pal14,Arp1,242.7525,14.957778,73.58,1.63,72.3,2.0,-0.466,0.038,0.038,0.127,10.5,0.56,-1.29,0.13,18900.0
Lynga7,BH184,242.765213,-55.317776,7.9,0.16,17.86,2.0,-3.852,0.027,0.027,0.003,13.48,1.03,-0.51,0.13,79600.0
NGC6093,M80,244.26004,-22.976084,10.34,0.12,10.93,2.0,-2.934,0.027,0.026,-0.01,13.02,0.56,-1.78,0.04,338000.0
Ryu059,RLGC1,244.286375,-44.593139,28.8,1.4400000000000002,70.0,100.0,0.988,0.053,0.044,0.014,nan,nan,-2.2,0.2,297000.0
NGC6121,M4,245.896744,-26.525749,1.85,0.02,71.21,2.0,-12.521,0.027,0.027,-0.0,12.5,0.7,-1.16,0.09,87100.0
NGC6101,-,246.450485,-72.202194,14.45,0.19,366.33,2.0,1.755,0.025,0.025,0.002,13.6,1.5,-2.1,0.06,178000.0
NGC6144,-,246.80777,-26.0235,8.15,0.13,194.79,2.0,-1.741,0.026,0.026,-0.005,12.75,1.5,-2.06,0.03,79200.0
NGC6139,-,246.918466,-38.848782,10.04,0.45,24.41,2.0,-6.081,0.027,0.026,0.003,nan,nan,-1.53,0.11,323000.0
Terzan3,-,247.162483,-35.339829,7.64,0.31,-135.76,2.0,-5.573,0.027,0.026,0.002,nan,nan,-0.96,0.13,40400.0
NGC6171,M107,248.132752,-13.053778,5.63,0.08,-34.71,2.0,-1.938,0.025,0.025,0.0,14.0,0.8,-1.02,0.02,74900.0
ESO452,1636-283,249.854167,-28.399167,7.39,0.2,16.37,2.0,-1.426,0.03,0.029,-0.034,12.5,3.5,-0.81,0.13,6800.0
